CustomerID,Recency,Frequency,Monetary,TotalItems,BulkCount,PreferredCategory,PreferredProduct,AvgBasketSize,BulkRatio,R_Score,F_Score,M_Score,RFM_Score,Log_Monetary,Segment,Segment_Name
1001,5,131,2752866.0,540.0,4,Foodstuff,Frozen Mackerel (1kg),4.122137404580153,0.030534351145038167,3,2,2,322,14.828153472024207,1,"Loyal (High F, High M)"
1002,3,850,19081080.0,3485.0,35,Foodstuff,Indomie (carton of 24 packs),4.1,0.041176470588235294,4,5,5,455,16.764207878564,0,"New & Infrequent (Low R, Low F, Low M)"
1003,1,375,8221309.0,1453.0,9,Foodstuff,Domestic Beer (0.5L bottle),3.8746666666666667,0.024,5,4,4,544,15.922240121731322,3,"Potential Loyal (Moderate F, Moderate M)"
1004,2,263,5336454.0,948.0,9,Foodstuff,Frozen Titus Fish (1kg),3.6045627376425857,0.034220532319391636,4,3,3,433,15.490072132807397,3,"Potential Loyal (Moderate F, Moderate M)"
1005,62,59,1191601.0,144.0,0,Foodstuff,Frozen Chicken (1kg),2.440677966101695,0.0,1,1,1,111,13.990809178235432,2,"At Risk (High R, Low F)"
1006,64,55,1475811.0,318.0,4,Foodstuff,Frozen Chicken (1kg),5.781818181818182,0.07272727272727272,1,1,2,112,14.204718904756433,2,"At Risk (High R, Low F)"
1007,6,63,1056379.0,173.0,1,Foodstuff,Milk (1 litre),2.746031746031746,0.015873015873015872,3,1,1,311,13.870358527003255,1,"Loyal (High F, High M)"
1008,4,552,13525614.0,1755.0,9,Foodstuff,Rice (50kg bag),3.1793478260869565,0.016304347826086956,3,5,5,355,16.42009585301238,0,"New & Infrequent (Low R, Low F, Low M)"
1009,3,273,6444509.0,944.0,8,Foodstuff,Frozen Mackerel (1kg),3.457875457875458,0.029304029304029304,4,3,4,434,15.678739163536529,3,"Potential Loyal (Moderate F, Moderate M)"
1010,1,433,10528203.0,1560.0,18,Foodstuff,Spaghetti (carton of 12 packs),3.602771362586605,0.04157043879907621,5,4,4,544,16.1695683092592,3,"Potential Loyal (Moderate F, Moderate M)"
